@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
1976,'2024/05/30 14:54:26:739',15,0,0,4.620362,4.055365,2.21924,1.549157,2.576015,2.077659,0.983018,0.856712,1.225367,2.656626,3.030901,1.975786,2.817664,5.124795,5.895494,4.931538,3.134703,4.258857,3.053414,2.354218,2.630959,2.952351,1.739304,0,?,?,0,0,0
1977,'2024/05/30 14:54:26:773',15,0,0,12.744255,6.692652,4.62533,3.891526,1.75431,0.931818,0.747144,1.938343,1.754566,1.973702,1.626918,2.597055,2.940384,1.574726,2.624269,4.025128,2.737936,2.666837,2.727141,1.761384,2.020001,2.646248,2.028269,0,?,?,0,0,0
1978,'2024/05/30 14:54:26:806',15,0,0,12.976832,10.236712,2.066987,1.788645,1.550616,2.578978,1.468424,1.510218,0.943953,1.525076,1.631234,3.599059,3.918581,3.756611,4.603162,6.192412,4.713465,3.580397,2.329661,2.904368,1.704741,2.132971,1.740367,0,?,?,0,0,0
1979,'2024/05/30 14:54:26:840',15,0,0,12.700045,5.378454,3.668543,4.801243,2.880111,1.537206,1.182949,1.338934,1.060365,1.405519,1.04143,1.47439,1.196386,3.182569,3.648006,4.006618,3.987271,3.616338,2.774817,2.104219,1.84284,2.336222,1.825356,0,?,?,0,0,0
1980,'2024/05/30 14:54:26:873',15,0,0,10.89798,4.306936,3.3468,3.743216,4.292473,5.285623,1.467701,1.715112,1.688333,2.673952,2.578346,1.898003,3.085439,1.651796,3.401254,4.594593,4.132801,3.376975,2.494997,1.705905,2.549913,1.454318,1.291087,0,?,?,0,0,0
1981,'2024/05/30 14:54:26:906',15,0,0,13.706995,9.407179,3.422189,2.902037,3.189178,2.018458,2.903733,1.592901,1.628203,1.932375,2.777443,4.168845,3.18804,3.003061,3.519751,4.515758,3.967865,4.586842,2.177182,2.000953,2.096658,1.339272,1.706175,0,?,?,0,0,0
1982,'2024/05/30 14:54:26:940',15,0,0,9.318168,13.653415,9.924177,0.873642,2.39545,4.634229,4.635346,6.84865,8.442898,5.49568,6.774259,7.347497,4.758928,6.848692,8.518185,3.438166,4.299892,4.605644,5.557706,6.760257,11.640314,9.083219,5.816492,0,?,?,0,0,0
1983,'2024/05/30 14:54:26:973',15,0,0,2.798104,6.631088,10.855991,9.126281,4.82602,1.206485,1.679316,1.082127,1.05047,1.009926,0.687622,1.637469,1.779648,1.874608,2.972562,3.955837,2.653698,3.352481,2.121961,2.1013,1.600737,2.346684,2.074462,0,?,?,0,0,0
1984,'2024/05/30 14:54:27:007',15,0,0,6.217998,3.754338,2.731588,2.107329,2.235485,0.982646,0.823221,0.670395,0.649311,1.756767,2.814213,3.105338,3.153893,2.741488,4.990097,4.301225,4.463078,4.306983,2.845238,1.993644,1.407068,1.899021,1.607845,0,?,?,0,0,0
1985,'2024/05/30 14:54:27:039',15,0,0,10.910668,6.505131,6.507534,5.662644,3.393856,4.213264,3.893203,2.487198,4.644337,5.125213,2.715625,4.543645,2.891528,5.317256,4.874458,5.789851,4.21332,3.674059,2.621335,2.861718,2.68376,2.599594,1.786283,0,?,?,0,0,0
