@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 {0,1,2}

@data
313,'2024/05/31 12:47:03:144',2,0,0,0,2
314,'2024/05/31 12:47:03:175',2,0,0,0,2
315,'2024/05/31 12:47:03:205',2,0,0,0,2
316,'2024/05/31 12:47:03:239',2,0,0,0,2
317,'2024/05/31 12:47:03:270',2,0,0,0,2
318,'2024/05/31 12:47:03:300',2,0,0,0,2
319,'2024/05/31 12:47:03:329',2,0,0,0,2
320,'2024/05/31 12:47:03:360',2,0,0,0,2
321,'2024/05/31 12:47:03:390',2,0,0,0,2
322,'2024/05/31 12:47:03:420',2,0,0,0,2
323,'2024/05/31 12:47:03:451',2,0,0,0,2
324,'2024/05/31 12:47:03:482',2,0,0,0,2
325,'2024/05/31 12:47:03:513',2,0,0,0,2
326,'2024/05/31 12:47:03:543',2,0,0,0,2
327,'2024/05/31 12:47:03:574',2,0,0,0,2
328,'2024/05/31 12:47:03:604',2,0,0,0,2
329,'2024/05/31 12:47:03:635',2,0,0,0,2
330,'2024/05/31 12:47:03:666',2,0,0,0,2
331,'2024/05/31 12:47:03:696',2,0,0,0,2
332,'2024/05/31 12:47:03:727',2,0,0,0,2
333,'2024/05/31 12:47:03:758',2,0,0,0,2
334,'2024/05/31 12:47:03:789',2,0,0,0,2
335,'2024/05/31 12:47:03:821',2,0,0,0,2
336,'2024/05/31 12:47:03:854',2,0,0,0,2
337,'2024/05/31 12:47:03:887',2,0,0,0,2
338,'2024/05/31 12:47:03:918',2,0,0,0,2
339,'2024/05/31 12:47:03:949',2,0,0,0,2
340,'2024/05/31 12:47:03:983',2,0,0,0,2
341,'2024/05/31 12:47:04:017',2,0,0,0,2
342,'2024/05/31 12:47:04:050',2,0,0,0,2
343,'2024/05/31 12:47:04:082',2,0,0,0,2
344,'2024/05/31 12:47:04:113',2,0,0,0,2
345,'2024/05/31 12:47:04:145',2,0,0,0,2
346,'2024/05/31 12:47:04:175',2,0,0,0,2
347,'2024/05/31 12:47:04:205',2,0,0,0,2
348,'2024/05/31 12:47:04:234',2,0,0,0,2
349,'2024/05/31 12:47:04:280',2,0,0,0,2
350,'2024/05/31 12:47:04:330',2,0,0,0,2
351,'2024/05/31 12:47:04:380',2,0,0,0,2
352,'2024/05/31 12:47:04:429',2,0,0,0,2
353,'2024/05/31 12:47:04:479',2,0,0,0,2
354,'2024/05/31 12:47:04:529',2,0,0,0,2
355,'2024/05/31 12:47:04:578',2,0,0,0,2
356,'2024/05/31 12:47:04:627',2,0,0,0,2
357,'2024/05/31 12:47:04:676',2,0,0,0,2
358,'2024/05/31 12:47:04:726',2,0,0,0,2
359,'2024/05/31 12:47:04:775',2,0,0,0,2
360,'2024/05/31 12:47:04:823',2,0,0,0,2
361,'2024/05/31 12:47:04:871',2,0,0,0,2
362,'2024/05/31 12:47:04:920',2,0,0,0,2
363,'2024/05/31 12:47:04:968',2,0,0,0,2
364,'2024/05/31 12:47:05:017',2,0,0,0,2
365,'2024/05/31 12:47:05:064',2,0,0,0,2
366,'2024/05/31 12:47:05:113',2,0,0,0,2
367,'2024/05/31 12:47:05:161',2,0,0,0,2
368,'2024/05/31 12:47:05:209',2,0,0,0,2
369,'2024/05/31 12:47:05:262',2,0,0,0,2
370,'2024/05/31 12:47:05:331',2,0,0,0,2
371,'2024/05/31 12:47:05:379',2,0,0,0,2
372,'2024/05/31 12:47:05:428',2,0,0,0,2
373,'2024/05/31 12:47:05:475',2,0,0,0,2
374,'2024/05/31 12:47:05:523',2,0,0,0,2
375,'2024/05/31 12:47:05:571',2,0,0,0,2
376,'2024/05/31 12:47:05:620',2,0,0,0,2
377,'2024/05/31 12:47:05:668',2,0,0,0,2
378,'2024/05/31 12:47:05:717',2,0,0,0,2
379,'2024/05/31 12:47:05:764',2,0,0,0,2
380,'2024/05/31 12:47:05:812',2,0,0,0,2
381,'2024/05/31 12:47:05:860',2,0,0,0,2
382,'2024/05/31 12:47:05:906',2,0,0,0,2
383,'2024/05/31 12:47:05:933',2,0,0,0,2
384,'2024/05/31 12:47:05:957',2,0,0,0,2
385,'2024/05/31 12:47:05:983',2,0,0,0,2
386,'2024/05/31 12:47:06:007',2,0,0,0,2
387,'2024/05/31 12:47:06:033',2,0,0,0,2
388,'2024/05/31 12:47:06:058',2,0,0,0,2
389,'2024/05/31 12:47:06:083',2,0,0,0,2
390,'2024/05/31 12:47:06:110',2,0,0,0,2
391,'2024/05/31 12:47:06:136',2,0,0,0,2
392,'2024/05/31 12:47:06:160',2,0,0,0,2
393,'2024/05/31 12:47:06:187',2,0,0,0,2
394,'2024/05/31 12:47:06:214',2,0,0,0,2
395,'2024/05/31 12:47:06:238',2,0,0,0,2
396,'2024/05/31 12:47:06:264',2,0,0,0,2
397,'2024/05/31 12:47:06:290',2,0,0,0,2
398,'2024/05/31 12:47:06:320',2,0,0,0,2
399,'2024/05/31 12:47:06:350',2,0,0,0,2
400,'2024/05/31 12:47:06:378',2,0,0,0,2
401,'2024/05/31 12:47:06:404',2,0,0,0,2
402,'2024/05/31 12:47:06:431',2,0,0,0,2
403,'2024/05/31 12:47:06:457',2,0,0,0,2
404,'2024/05/31 12:47:06:487',2,0,0,0,2
405,'2024/05/31 12:47:06:518',2,0,0,0,2
406,'2024/05/31 12:47:06:544',2,0,0,0,2
407,'2024/05/31 12:47:06:570',2,0,0,0,2
408,'2024/05/31 12:47:06:596',2,0,0,0,2
409,'2024/05/31 12:47:06:622',2,0,0,0,2
410,'2024/05/31 12:47:06:648',2,0,0,0,2
411,'2024/05/31 12:47:06:674',2,0,0,0,2
412,'2024/05/31 12:47:06:700',2,0,0,0,2
413,'2024/05/31 12:47:06:725',2,0,0,0,2
414,'2024/05/31 12:47:06:752',2,0,0,0,2
415,'2024/05/31 12:47:06:779',2,0,0,0,2
416,'2024/05/31 12:47:06:804',2,0,0,0,2
417,'2024/05/31 12:47:06:829',2,0,0,0,2
418,'2024/05/31 12:47:06:855',2,0,0,0,2
419,'2024/05/31 12:47:06:881',2,0,0,0,2
420,'2024/05/31 12:47:06:907',2,0,0,0,2
421,'2024/05/31 12:47:06:933',2,0,0,0,2
422,'2024/05/31 12:47:06:959',2,0,0,0,2
423,'2024/05/31 12:47:06:985',2,0,0,0,2
424,'2024/05/31 12:47:07:013',2,0,0,0,2
425,'2024/05/31 12:47:07:040',2,0,0,0,2
426,'2024/05/31 12:47:07:066',2,0,0,0,2
427,'2024/05/31 12:47:07:092',2,0,0,0,2
428,'2024/05/31 12:47:07:118',2,0,0,0,2
429,'2024/05/31 12:47:07:143',2,0,0,0,2
430,'2024/05/31 12:47:07:169',2,0,0,0,2
431,'2024/05/31 12:47:07:194',2,0,0,0,2
432,'2024/05/31 12:47:07:220',2,0,0,0,2
433,'2024/05/31 12:47:07:246',2,0,0,0,2
434,'2024/05/31 12:47:07:271',2,0,0,0,2
435,'2024/05/31 12:47:07:297',2,0,0,0,2
436,'2024/05/31 12:47:07:323',2,0,0,0,2
437,'2024/05/31 12:47:07:349',2,0,0,0,2
438,'2024/05/31 12:47:07:374',2,0,0,0,2
439,'2024/05/31 12:47:07:401',2,0,0,0,2
440,'2024/05/31 12:47:07:428',2,0,0,0,2
441,'2024/05/31 12:47:07:472',2,0,0,0,2
442,'2024/05/31 12:47:07:521',2,0,0,0,2
443,'2024/05/31 12:47:07:574',2,0,0,0,2
444,'2024/05/31 12:47:07:622',2,0,0,0,2
445,'2024/05/31 12:47:07:671',2,0,0,0,2
446,'2024/05/31 12:47:07:722',2,0,0,0,2
447,'2024/05/31 12:47:07:772',2,0,0,0,2
448,'2024/05/31 12:47:07:822',2,0,0,0,2
449,'2024/05/31 12:47:07:871',2,0,0,0,2
450,'2024/05/31 12:47:07:920',2,0,0,0,2
451,'2024/05/31 12:47:07:968',2,0,0,0,2
452,'2024/05/31 12:47:08:019',2,0,0,0,2
453,'2024/05/31 12:47:08:068',2,0,0,0,2
454,'2024/05/31 12:47:08:119',2,0,0,0,2
455,'2024/05/31 12:47:08:168',2,0,0,0,2
456,'2024/05/31 12:47:08:217',2,0,0,0,2
457,'2024/05/31 12:47:08:270',2,0,0,0,2
458,'2024/05/31 12:47:08:320',2,0,0,0,2
459,'2024/05/31 12:47:08:369',2,0,0,0,2
460,'2024/05/31 12:47:08:417',2,0,0,0,2
461,'2024/05/31 12:47:08:466',2,0,0,0,2
462,'2024/05/31 12:47:08:516',2,0,0,0,2
463,'2024/05/31 12:47:08:567',2,0,0,0,2
464,'2024/05/31 12:47:08:618',2,0,0,0,2
